,win_per_hand,win_per_hand_involve,p_agg_aggressive,p_agg_passive,f_agg_aggressive,f_agg_passive,t_agg_aggressive,t_agg_passive,r_agg_aggressive,r_agg_passive,vpip_loose,vpip_tight,pot_size_large,pot_size_small,post_num_less,post_num_many
0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0
2,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
4,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
5,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
6,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
7,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
8,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
9,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
10,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
11,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
12,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
13,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
14,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
15,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
16,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0
17,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
18,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
19,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
20,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
21,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
22,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
23,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
24,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
25,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
26,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
27,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
28,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
29,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
30,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
31,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
32,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
33,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
34,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
35,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
36,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
37,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
38,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
39,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
40,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
41,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
42,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
43,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
44,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
45,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
46,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
47,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
48,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
49,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
50,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
51,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
52,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
53,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
54,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
55,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
56,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
57,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
58,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
59,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
60,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
61,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
62,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
63,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
64,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
65,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
66,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
67,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
68,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
69,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
70,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
71,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
72,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
73,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
