,p_pas,f_pas,t_pas,r_pas,vpip_tight,small_pot_size,win_per_hand,win_per_hand_involve
0,0,1,1,1,1,0,0,0
1,1,0,0,0,1,0,1,1
2,1,1,1,1,1,1,1,1
3,0,0,0,1,1,0,0,0
4,0,1,1,0,1,1,0,0
5,1,1,1,1,1,1,0,0
6,1,0,0,0,1,0,0,0
7,0,1,1,1,1,1,1,1
8,0,1,1,1,1,0,1,1
9,0,1,1,1,1,1,0,1
10,0,0,0,0,1,1,0,0
11,1,1,1,1,1,0,1,0
12,1,1,1,1,1,0,1,1
13,1,1,1,1,1,0,1,1
14,1,1,0,0,1,1,0,0
15,0,0,0,0,0,0,1,1
16,0,1,1,0,1,0,1,1
17,1,1,1,1,1,1,1,1
18,1,0,0,1,1,0,1,1
19,0,0,1,0,1,0,0,0
20,1,1,1,1,1,1,0,0
21,0,0,1,0,1,0,0,0
22,1,0,0,1,1,0,1,1
23,1,0,1,1,1,0,1,1
24,1,1,1,1,1,0,1,1
25,1,0,0,0,1,0,1,1
26,1,1,1,1,1,1,0,0
27,0,1,1,1,1,0,1,1
28,1,0,0,0,1,1,0,0
29,0,1,0,0,1,0,0,1
30,1,1,1,1,1,1,1,1
31,0,0,1,1,1,1,0,0
32,1,1,1,0,1,0,1,1
33,0,0,0,0,0,0,0,0
34,0,1,1,1,1,1,1,1
35,1,1,1,1,1,0,1,1
36,0,1,0,1,1,1,0,0
37,1,1,1,1,1,1,1,1
38,0,0,0,0,1,0,0,0
39,1,0,0,1,1,1,1,1
40,0,1,1,1,1,1,1,1
41,0,0,0,1,1,0,0,0
42,0,0,0,0,0,1,0,0
43,0,0,1,0,1,1,0,0
44,1,0,0,0,0,0,0,0
45,1,0,0,0,1,0,0,0
46,1,0,1,1,1,1,1,1
47,0,0,0,0,0,1,0,0
48,1,0,0,0,1,0,1,1
49,1,1,1,1,1,0,1,1
50,0,1,1,1,1,1,0,0
51,0,0,1,0,1,1,0,0
52,1,1,0,1,1,1,0,0
53,0,1,1,0,0,1,0,0
54,0,1,1,1,1,1,0,0
55,1,0,0,1,1,0,1,1
56,1,1,1,1,1,1,1,1
57,0,1,0,1,1,0,1,1
58,1,1,1,0,1,0,1,1
59,0,0,0,1,1,1,0,0
60,0,1,1,1,1,1,1,1
61,0,1,1,0,1,1,0,1
62,0,0,1,1,1,0,0,0
63,0,0,1,0,1,0,0,0
64,1,0,0,1,1,0,1,1
65,0,0,1,1,1,0,1,1
66,0,0,0,0,1,0,0,0
67,1,1,1,0,1,0,1,1
68,0,0,0,1,1,0,1,1
69,0,0,1,1,1,1,0,1
70,1,1,1,0,1,1,0,0
71,0,1,0,1,1,1,0,0
72,1,0,0,1,1,1,1,1
73,0,1,1,1,1,1,0,0
74,0,1,1,0,1,1,1,1
75,1,1,1,1,1,1,1,1
76,0,1,1,1,1,0,0,1
77,1,0,0,0,0,0,0,1
78,0,1,0,0,1,0,1,1
79,1,1,0,0,1,1,1,1
80,1,1,1,1,1,0,1,1
81,0,0,1,1,1,0,1,1
82,0,1,1,1,1,1,1,1
83,1,0,0,0,1,1,0,0
84,1,1,1,0,1,1,1,1
85,0,0,1,1,1,1,1,1
86,1,0,0,0,0,0,1,1
87,1,1,0,0,1,0,1,1
88,0,0,0,0,1,1,0,0
89,0,1,1,1,1,0,1,1
90,1,1,0,0,1,1,1,1
91,0,0,0,0,1,0,0,0
92,0,1,1,1,1,1,0,1
