,hands_played,pots_won,amount_won,to_inv,net_win,per_hand,vpip_count,inv_count,vpip,% won,avg_p_size,avg_agg,per_hand_inv,avg_player_num,avg_post_num,p_score,f_score,t_score,r_score
HQg4dAYPUt6c2wXfx8Qp2A,26449,3723.0,55512.25999999999,69091.57,-13579.31000000002,-0.513414873908277,4972,13211,0.18798442285152558,0.2818106123684808,14.910625839376843,0.15962796325002834,-1.0278790401937794,5.418238874815683,1.2402737343566865,0.15066732201595523,0.006276229725131385,0.001928239252901811,0.0007561722560399259
igvhUfnIs8in/SlI6b2cug,19731,2727.0,46252.13999999998,53338.799999999996,-7086.660000000018,-0.35916375247073223,5110,10677,0.25898332573108307,0.25540882270300647,16.96081408140813,0.04404236987481628,-0.6637313852205693,5.335563326744716,1.4435659621914754,0.02792559931072931,0.007551568597638234,0.006943388576351933,0.001621813390096802
kIbanshKysxtdDXKqLAWsA,16433,1685.0,23442.409999999993,29165.710000000003,-5723.30000000001,-0.3482808981926617,2505,5810,0.1524371691109353,0.29001721170395867,13.912409495548957,0.11276090792916692,-0.9850774526678159,8.128521876711496,1.72117081482383,0.10697985760360251,0.004503133937808069,0.0009127974198259599,0.000365118967930384
yspTPyicC4Ere+tsoRHI1A,13480,1987.0,36132.37000000001,44339.4,-8207.029999999992,-0.6088301186943614,2950,6546,0.21884272997032642,0.3035441490986862,18.184383492702572,0.16661721068249258,-1.2537473266116699,5.558160237388724,1.43486646884273,0.1531899109792285,0.009124629080118695,0.0031899109792284867,0.001112759643916914
vETYfpoA+FhBercnDPJrRw,12862,1857.0,22457.02,31077.370000000014,-8620.350000000013,-0.6702184730213041,2588,6614,0.2012128751360597,0.2807680677351074,12.093171782444804,0.1479552169180532,-1.3033489567583934,5.353133260768154,1.3343181464779972,0.13823666614834396,0.00660861452340227,0.0019437101539418443,0.0011662260923651065
/Py4oC07NDKMwR2aGRH32A,10368,923.0,11473.880000000001,17468.76,-5994.879999999997,-0.5782098765432097,1706,3740,0.16454475308641975,0.24679144385026738,12.431072589382449,0.07716049382716049,-1.6029090909090902,8.269675925925926,1.7611882716049383,0.07195216049382716,0.002218364197530864,0.002025462962962963,0.0009645061728395061
9kGpt+XUpavowCzDUv23cw,9452,1066.0,18887.75,25230.780000000006,-6343.030000000006,-0.6710780787135004,1922,3611,0.2033432077867118,0.29520908335641094,17.718339587242028,0.11616589081675836,-1.7565854333979525,7.964451967837495,1.862886161658908,0.10071942446043165,0.008252221752010156,0.006030469741853576,0.0011637748624629708
mzwwub9VQXatwGWV0YZIQQ,9322,1472.0,18195.489999999998,21364.85,-3169.3600000000006,-0.33998712722591723,2056,4979,0.22055352928556105,0.2956416951195019,12.361066576086955,0.15307873846813988,-0.6365454910624625,5.22291353786741,1.359794035614675,0.14524780090109418,0.004934563398412358,0.002252735464492598,0.0006436387041407423
YTl1HrDTF18WWtXqWXBsGg,7868,945.0,14587.599999999997,17126.989999999994,-2539.3899999999976,-0.3227491103202844,1396,2795,0.17742755465175394,0.33810375670840787,15.436613756613752,0.1418403660396543,-0.9085474060822889,8.41459074733096,1.719115404168785,0.13319776309100154,0.005846466700559228,0.0020335536349771225,0.000762582613116421
7I7RYE+DyVv9a2suFhCI8g,7841,1419.0,19593.119999999995,23745.159999999996,-4152.040000000001,-0.5295293967606174,2051,4321,0.2615737788547379,0.32839620458227264,13.807695560253697,0.21655401096798876,-0.9608979402915994,5.418058921055988,1.300471878586915,0.20749904348935086,0.006759341920673383,0.0019130212983037877,0.00038260425966075756
